Deleting each line of seed to set location bias.........Done

Generation: 0
BinarySearchProblemTest_274 fit: 10101.0
BinarySearchProblemTest_272 fit: 10100.038
BinarySearchProblemTest_270 fit: 1.0
BinarySearchProblemTest_269 fit: 1.0
BinarySearchProblemTest_266 fit: 0.29186603
BinarySearchProblemTest_262 fit: 1.0
BinarySearchProblemTest_260 fit: 0.80861247
BinarySearchProblemTest_258 fit: 10100.22
BinarySearchProblemTest_256 fit: 1.0
BinarySearchProblemTest_253 fit: 1.0
BinarySearchProblemTest_291 fit: 0.9282297
BinarySearchProblemTest_289 fit: 7575.297
BinarySearchProblemTest_287 fit: 1.0
BinarySearchProblemTest_285 fit: 1.0
BinarySearchProblemTest_282 fit: 1.0
BinarySearchProblemTest_280 fit: 1.0
BinarySearchProblemTest_277 fit: 34900.0
BinarySearchProblemTest_315 fit: 1.0
BinarySearchProblemTest_319 fit: 34900.0
BinarySearchProblemTest_313 fit: 10101.244
BinarySearchProblemTest_312 fit: 1.0
BinarySearchProblemTest_310 fit: 10101.105
BinarySearchProblemTest_308 fit: 5000.1484
BinarySearchProblemTest_307 fit: 0.9521531
BinarySearchProblemTest_304 fit: 1.0
BinarySearchProblemTest_301 fit: 34900.0
BinarySearchProblemTest_298 fit: 10100.182
BinarySearchProblemTest_295 fit: 34900.0
BinarySearchProblemTest_336 fit: 1.0
BinarySearchProblemTest_333 fit: 1.0
BinarySearchProblemTest_331 fit: 10101.244
BinarySearchProblemTest_328 fit: 0.97607654
BinarySearchProblemTest_326 fit: 1.0
BinarySearchProblemTest_324 fit: 34900.0
BinarySearchProblemTest_321 fit: 10101.244
BinarySearchProblemTest_318 fit: 1.0
BinarySearchProblemTest_359 fit: 34900.0
BinarySearchProblemTest_357 fit: 1.0
BinarySearchProblemTest_355 fit: 1.0
BinarySearchProblemTest_347 fit: 10101.277
BinarySearchProblemTest_346 fit: 9900.148
BinarySearchProblemTest_342 fit: 1.0
BinarySearchProblemTest_341 fit: 1.0
BinarySearchProblemTest_339 fit: 1.0
BinarySearchProblemTest_379 fit: 1.0
BinarySearchProblemTest_376 fit: 34900.0
BinarySearchProblemTest_373 fit: 10100.2295
BinarySearchProblemTest_371 fit: 34900.0
BinarySearchProblemTest_369 fit: 10101.277
BinarySearchProblemTest_368 fit: 34900.0
BinarySearchProblemTest_363 fit: 1.0
BinarySearchProblemTest_361 fit: 1.0
BinarySearchProblemTest_403 fit: 1.0
BinarySearchProblemTest_401 fit: 1.0
BinarySearchProblemTest_397 fit: 10101.277
BinarySearchProblemTest_394 fit: 1.0
BinarySearchProblemTest_391 fit: 1.0
BinarySearchProblemTest_390 fit: 1.0
BinarySearchProblemTest_384 fit: 1.0
BinarySearchProblemTest_382 fit: 0.9521531
BinarySearchProblemTest_425 fit: 1.0478469
BinarySearchProblemTest_419 fit: 1.0
BinarySearchProblemTest_414 fit: 1.0
BinarySearchProblemTest_411 fit: 1.0
BinarySearchProblemTest_439 fit: 34900.0
BinarySearchProblemTest_410 fit: 1.0
BinarySearchProblemTest_407 fit: 1.0
BinarySearchProblemTest_445 fit: 9901.0
BinarySearchProblemTest_441 fit: 1.0
Generation: 2
BinarySearchProblemTest_464 fit: 1.0
BinarySearchProblemTest_484 fit: 1.0
BinarySearchProblemTest_483 fit: 0.9282297
BinarySearchProblemTest_481 fit: 1.0
BinarySearchProblemTest_482 fit: 10100.225
BinarySearchProblemTest_480 fit: 1.0
BinarySearchProblemTest_472 fit: 5000.1484
BinarySearchProblemTest_466 fit: 1.0
BinarySearchProblemTest_503 fit: 1.0
BinarySearchProblemTest_500 fit: 10100.148
BinarySearchProblemTest_499 fit: 10100.2295
BinarySearchProblemTest_497 fit: 1.0
BinarySearchProblemTest_496 fit: 1.0
BinarySearchProblemTest_494 fit: 1.0
BinarySearchProblemTest_491 fit: 100.99522
BinarySearchProblemTest_488 fit: 10100.22
BinarySearchProblemTest_486 fit: 1.0
BinarySearchProblemTest_525 fit: 0.9282297
BinarySearchProblemTest_524 fit: 10101.105
BinarySearchProblemTest_518 fit: 0.97607654
BinarySearchProblemTest_516 fit: 0.29186603
BinarySearchProblemTest_510 fit: 100.99522
BinarySearchProblemTest_507 fit: 1.0
BinarySearchProblemTest_505 fit: 34900.0
BinarySearchProblemTest_548 fit: 1.0
BinarySearchProblemTest_546 fit: 10100.148
BinarySearchProblemTest_543 fit: 10100.201
BinarySearchProblemTest_539 fit: 101.239235
BinarySearchProblemTest_537 fit: 0.29186603
BinarySearchProblemTest_535 fit: 34900.0
