Deleting each line of seed to set location bias...............Done

Generation: 0
ExponentialSearchProblemTest_236 fit: 34900.0
ExponentialSearchProblemTest_238 fit: 34900.0
ExponentialSearchProblemTest_243 fit: 34900.0
ExponentialSearchProblemTest_284 fit: 0.9927536
ExponentialSearchProblemTest_272 fit: 1.0
ExponentialSearchProblemTest_269 fit: 1.0
ExponentialSearchProblemTest_265 fit: 1.0
ExponentialSearchProblemTest_262 fit: 1.0
ExponentialSearchProblemTest_257 fit: 34900.0
ExponentialSearchProblemTest_259 fit: 1.0
ExponentialSearchProblemTest_258 fit: 34900.0
ExponentialSearchProblemTest_299 fit: 1.0
ExponentialSearchProblemTest_295 fit: 1.0
ExponentialSearchProblemTest_291 fit: 2525.1956
ExponentialSearchProblemTest_289 fit: 1.0
ExponentialSearchProblemTest_287 fit: 34900.0
ExponentialSearchProblemTest_316 fit: 1.0
ExponentialSearchProblemTest_314 fit: 1.0
ExponentialSearchProblemTest_312 fit: 1.0
ExponentialSearchProblemTest_309 fit: 1.0
ExponentialSearchProblemTest_308 fit: 10100.282
ExponentialSearchProblemTest_306 fit: 1.0
ExponentialSearchProblemTest_304 fit: 0.9927536
ExponentialSearchProblemTest_335 fit: 1.0
ExponentialSearchProblemTest_334 fit: 10100.259
ExponentialSearchProblemTest_331 fit: 1.0
ExponentialSearchProblemTest_328 fit: 1.0
ExponentialSearchProblemTest_322 fit: 10100.979
ExponentialSearchProblemTest_320 fit: 10101.0
ExponentialSearchProblemTest_317 fit: 1.0
ExponentialSearchProblemTest_352 fit: 1.0
ExponentialSearchProblemTest_350 fit: 1.0
ExponentialSearchProblemTest_348 fit: 34900.0
ExponentialSearchProblemTest_347 fit: 1.0
ExponentialSearchProblemTest_346 fit: 10001.0
ExponentialSearchProblemTest_342 fit: 1.0
ExponentialSearchProblemTest_338 fit: 10101.0
ExponentialSearchProblemTest_336 fit: 10101.0
ExponentialSearchProblemTest_370 fit: 10001.0
ExponentialSearchProblemTest_368 fit: 34900.0
ExponentialSearchProblemTest_364 fit: 1.0
ExponentialSearchProblemTest_362 fit: 1.0
ExponentialSearchProblemTest_356 fit: 1.0
ExponentialSearchProblemTest_354 fit: 1.0
ExponentialSearchProblemTest_396 fit: 1.0
ExponentialSearchProblemTest_392 fit: 1.0
ExponentialSearchProblemTest_390 fit: 1.0
ExponentialSearchProblemTest_387 fit: 1.0
ExponentialSearchProblemTest_384 fit: 10100.182
ExponentialSearchProblemTest_381 fit: 1.0
ExponentialSearchProblemTest_377 fit: 0.98550725
ExponentialSearchProblemTest_375 fit: 1.0
ExponentialSearchProblemTest_424 fit: 1.0
ExponentialSearchProblemTest_421 fit: 1801.0
ExponentialSearchProblemTest_420 fit: 10101.0
ExponentialSearchProblemTest_414 fit: 0.84782606
ExponentialSearchProblemTest_413 fit: 34900.0
ExponentialSearchProblemTest_411 fit: 2525.1956
ExponentialSearchProblemTest_409 fit: 0.84782606
ExponentialSearchProblemTest_402 fit: 1.0
ExponentialSearchProblemTest_400 fit: 34900.0
ExponentialSearchProblemTest_455 fit: 1.0
ExponentialSearchProblemTest_453 fit: 1.0
ExponentialSearchProblemTest_449 fit: 34900.0
ExponentialSearchProblemTest_445 fit: 1.0
ExponentialSearchProblemTest_440 fit: 1.0
ExponentialSearchProblemTest_435 fit: 1.0
