Deleting each line of seed to set location bias.......Done

Generation: 0
SearchProblemTest_341 fit: 1.0
SearchProblemTest_336 fit: 1.0
SearchProblemTest_330 fit: 1.0
SearchProblemTest_328 fit: 10100.829
SearchProblemTest_325 fit: 1.0901786
SearchProblemTest_367 fit: 1.0
SearchProblemTest_366 fit: 1.0
SearchProblemTest_364 fit: 10100.921
SearchProblemTest_360 fit: 1.0
SearchProblemTest_358 fit: 100.82947
SearchProblemTest_355 fit: 34900.0
SearchProblemTest_351 fit: 10201.0
SearchProblemTest_350 fit: 10100.009
SearchProblemTest_392 fit: 10100.009
SearchProblemTest_389 fit: 1.0
SearchProblemTest_385 fit: 10100.009
SearchProblemTest_384 fit: 1.0071429
SearchProblemTest_381 fit: 1.0
SearchProblemTest_378 fit: 1.0
SearchProblemTest_374 fit: 1.0
SearchProblemTest_370 fit: 1.0
SearchProblemTest_418 fit: 1.0
SearchProblemTest_416 fit: 10100.65
SearchProblemTest_414 fit: 1.0
SearchProblemTest_410 fit: 10100.829
SearchProblemTest_409 fit: 1.0
SearchProblemTest_406 fit: 1.0
SearchProblemTest_404 fit: 10101.012
SearchProblemTest_399 fit: 10100.011
SearchProblemTest_441 fit: 1.0
SearchProblemTest_439 fit: 1.0
SearchProblemTest_433 fit: 1.0
SearchProblemTest_431 fit: 1.0901786
SearchProblemTest_428 fit: 1.0
SearchProblemTest_426 fit: 1.0
SearchProblemTest_423 fit: 1.0
SearchProblemTest_420 fit: 10100.921
SearchProblemTest_468 fit: 9900.02
SearchProblemTest_464 fit: 1.0
SearchProblemTest_460 fit: 1.0
SearchProblemTest_458 fit: 1.0
SearchProblemTest_450 fit: 1.0
SearchProblemTest_448 fit: 1.0
SearchProblemTest_446 fit: 10100.011
SearchProblemTest_443 fit: 1.0044643
SearchProblemTest_492 fit: 100.55447
SearchProblemTest_489 fit: 10100.009
Generation: 2
SearchProblemTest_522 fit: 1.0
SearchProblemTest_519 fit: 9901.001
SearchProblemTest_516 fit: 1.0
SearchProblemTest_513 fit: 1.0044643
SearchProblemTest_509 fit: 1.0
SearchProblemTest_511 fit: 10100.558
SearchProblemTest_546 fit: 1.0
SearchProblemTest_543 fit: 1.0
SearchProblemTest_542 fit: 1.0
SearchProblemTest_540 fit: 1.0
SearchProblemTest_537 fit: 10100.01
SearchProblemTest_534 fit: 1.0
SearchProblemTest_531 fit: 1.0
SearchProblemTest_527 fit: 1.0
SearchProblemTest_524 fit: 100.55447
SearchProblemTest_569 fit: 10100.999
SearchProblemTest_566 fit: 1.0
SearchProblemTest_564 fit: 1.0
SearchProblemTest_562 fit: 1.0
SearchProblemTest_559 fit: 1.0
SearchProblemTest_556 fit: 1.0017858
SearchProblemTest_552 fit: 1.0
SearchProblemTest_550 fit: 1.0
SearchProblemTest_589 fit: 1.0
SearchProblemTest_587 fit: 10100.921
SearchProblemTest_584 fit: 10100.01
SearchProblemTest_580 fit: 1.0
SearchProblemTest_576 fit: 1.0
SearchProblemTest_574 fit: 1.0
SearchProblemTest_573 fit: 1.0
SearchProblemTest_571 fit: 1.0
SearchProblemTest_606 fit: 1.0071429
SearchProblemTest_602 fit: 10100.009
SearchProblemTest_597 fit: 1.0
SearchProblemTest_596 fit: 1.0
SearchProblemTest_594 fit: 1.0
SearchProblemTest_592 fit: 34900.0
SearchProblemTest_630 fit: 10100.01
SearchProblemTest_628 fit: 34900.0
SearchProblemTest_626 fit: 1.0
SearchProblemTest_624 fit: 1.0
SearchProblemTest_623 fit: 10100.01
SearchProblemTest_619 fit: 34900.0
SearchProblemTest_616 fit: 9900.02
SearchProblemTest_613 fit: 9900.02
SearchProblemTest_608 fit: 10100.009
SearchProblemTest_656 fit: 100.55447
SearchProblemTest_654 fit: 34900.0
SearchProblemTest_647 fit: 10000.01
SearchProblemTest_644 fit: 1.0
SearchProblemTest_633 fit: 34900.0
SearchProblemTest_635 fit: 34900.0
SearchProblemTest_641 fit: 34900.0
SearchProblemTest_662 fit: 34900.0
SearchProblemTest_663 fit: 34900.0
SearchProblemTest_665 fit: 34900.0
SearchProblemTest_668 fit: 34900.0
SearchProblemTest_671 fit: 34900.0
SearchProblemTest_674 fit: 34900.0
SearchProblemTest_678 fit: 34900.0
SearchProblemTest_680 fit: 34900.0
SearchProblemTest_683 fit: 34900.0
SearchProblemTest_687 fit: 34900.0
SearchProblemTest_708 fit: 10100.829
SearchProblemTest_689 fit: 34900.0
SearchProblemTest_706 fit: 1.0044643
SearchProblemTest_704 fit: 1.0
SearchProblemTest_701 fit: 1.0
SearchProblemTest_698 fit: 10101.012
SearchProblemTest_691 fit: 34900.0
SearchProblemTest_696 fit: 100.55447
SearchProblemTest_729 fit: 1.0071429
SearchProblemTest_726 fit: 10100.829
SearchProblemTest_725 fit: 1.0
SearchProblemTest_723 fit: 1.0
SearchProblemTest_721 fit: 10100.921
SearchProblemTest_719 fit: 10100.558
SearchProblemTest_717 fit: 10100.009
SearchProblemTest_750 fit: 1.0
SearchProblemTest_747 fit: 10100.008
SearchProblemTest_745 fit: 10201.0
SearchProblemTest_742 fit: 10100.921
SearchProblemTest_740 fit: 1.0
SearchProblemTest_736 fit: 10000.018
SearchProblemTest_734 fit: 1.0
SearchProblemTest_731 fit: 10000.019
SearchProblemTest_753 fit: 34900.0
SearchProblemTest_759 fit: 34900.0
SearchProblemTest_761 fit: 34900.0
SearchProblemTest_763 fit: 34900.0
SearchProblemTest_766 fit: 34900.0
SearchProblemTest_768 fit: 34900.0
SearchProblemTest_769 fit: 34900.0
SearchProblemTest_774 fit: 34900.0
SearchProblemTest_801 fit: 10100.01
SearchProblemTest_800 fit: 10100.009
SearchProblemTest_795 fit: 10100.01
SearchProblemTest_790 fit: 200.00983
SearchProblemTest_787 fit: 1.0
SearchProblemTest_778 fit: 34900.0
Generation: 3
SearchProblemTest_853 fit: 1.0
SearchProblemTest_851 fit: 100.55447
SearchProblemTest_847 fit: 10000.019
SearchProblemTest_849 fit: 34900.0
SearchProblemTest_846 fit: 34900.0
SearchProblemTest_844 fit: 34900.0
SearchProblemTest_854 fit: 34900.0
SearchProblemTest_865 fit: 100.55447
SearchProblemTest_857 fit: 34900.0
SearchProblemTest_864 fit: 1.0
SearchProblemTest_861 fit: 34900.0
SearchProblemTest_883 fit: 10100.01
SearchProblemTest_882 fit: 1.0
SearchProblemTest_878 fit: 100.82947
SearchProblemTest_876 fit: 10100.999
SearchProblemTest_875 fit: 10000.555
SearchProblemTest_870 fit: 9900.02
SearchProblemTest_871 fit: 10100.009
SearchProblemTest_866 fit: 10100.829
SearchProblemTest_866 fit: 100.55447
SearchProblemTest_908 fit: 10100.01
SearchProblemTest_906 fit: 10000.019
SearchProblemTest_886 fit: 34900.0
SearchProblemTest_890 fit: 34900.0
SearchProblemTest_892 fit: 34900.0
SearchProblemTest_896 fit: 34900.0
SearchProblemTest_900 fit: 34900.0
SearchProblemTest_902 fit: 34900.0
SearchProblemTest_928 fit: 10101.001
SearchProblemTest_924 fit: 10000.01
SearchProblemTest_912 fit: 34900.0
SearchProblemTest_915 fit: 34900.0
SearchProblemTest_917 fit: 34900.0
SearchProblemTest_920 fit: 34900.0
SearchProblemTest_922 fit: 34900.0
SearchProblemTest_951 fit: 10100.009
SearchProblemTest_948 fit: 1.0
SearchProblemTest_932 fit: 34900.0
SearchProblemTest_935 fit: 34900.0
SearchProblemTest_942 fit: 10200.999
SearchProblemTest_937 fit: 34900.0
SearchProblemTest_939 fit: 34900.0
SearchProblemTest_940 fit: 1.0
SearchProblemTest_964 fit: 10000.009
SearchProblemTest_962 fit: 1.0
SearchProblemTest_957 fit: 10050.834
SearchProblemTest_954 fit: 1.0
SearchProblemTest_952 fit: 10100.921
SearchProblemTest_980 fit: 100.82947
SearchProblemTest_978 fit: 100.55447
SearchProblemTest_977 fit: 10100.465
SearchProblemTest_975 fit: 9900.02
